PROTEIN CODING GENES:	8122 (100.00)
SULT4A1	SLX1A-SULT1A3
C1QL4	CBLN2
ADCY8	ADCY8
AC007318.1	VDAC1
AC007318.1	VDAC3
FOXI3	FOXI1
FOXI1	FOXI2
ENSAP3	AC068538.1
RETREG2	RETREG1
RETREG2	RETREG3
RETREG1	RETREG3
FN1	COL12A1
COL14A1	COL20A1
COL14A1	COL7A1
ITGB6	RP11-290H9.2
ITGB8	RP11-290H9.2
ITGB1	RP11-290H9.2
ITGB2	RP11-290H9.2
ITGB5	RP11-290H9.2
HOXC11	HOXA9
HOXD10	HOXA9
HOXA9	HOXD9
HOXA9	HOXC10
HOXA9	HOXC9
HOXA9	HOXB9
HOXA5	RP11-834C11.12
HOXB5	RP11-834C11.12
HNRNPA3	HNRNPA1P7
HNRNPA2B1	HNRNPA1P7
HNRNPA1	HNRNPA1P4
HNRNPA1	HNRNPA1P7
HNRNPA1P7	HNRNPA0
HNRNPA1P7	HNRNPA1P4
PJVK	GSDME
GLTP	PLEKHA8P1
TNS3	TNS4
AGAP1	AL136982.1
AGAP3	AL136982.1
AGAP3	AGAP14P
AGAP4	AL136982.1
AL136982.1	AGAP6
AGAP2	AGAP14P
OTOF	FER1L4
FER1L6	FER1L4
FER1L4	DYSF
LOXL4	MARCO
LOXL4	SCARA5
LOXL4	MSR1
DES	KRT17P2
DES	NEFH
NEFM	KRT17P2
VIM	KRT17P2
VIM	NEFH
KRT8	KRT17P2
KRT77	KRT17P2
KRT82	KRT17P2
KRT80	KRT17P2
KRT1	KRT17P2
KRT84	KRT17P2
PRPH	KRT17P2
KRT2	KRT17P2
KRT18	KRT17P2
KRT4	KRT17P2
KRT6A	KRT17P2
KRT6C	KRT17P2
KRT86	KRT17P2
KRT6B	KRT17P2
KRT79	KRT17P2
KRT75	KRT17P2
KRT5	KRT17P2
KRT7	KRT17P2
KRT83	KRT17P2
KRT17P2	INA
TMEFF2	MSANTD3
ANKRD23	ANKRD1
ANKRD23	ANKRD2
MPP3	DLG1
MPP3	LLGL1
CCNYL1	CCNYL2
FBLN2	FBLN7
FBLN1	FBLN7
ATF2	RP11-793H13.10
AC079305.1	NFE2
AC079305.1	NFE2L1
NFE2L1	ZBTB44
PROC	F7
PROC	F10
F10	PRSS3
PRSS3	PRSS3P4
PRSS3	KLK5
PRSS3	KLK15
PRSS3	KLK13
PRSS3	KLK11
PRSS3	CTC-518B2.8
PRSS3	KLK14
PRSS3	KLK9
TSHR	RXFP1
TSHR	RP11-310N16.1
BCL11A	ZNF296
BCL11B	ZNF296
AHSA2P	AHSA1
RMDN2	RMDN3
MEIS1	MEIS3P1
MEIS2	MEIS3P1
MEIS3P1	PKNOX2
MEIS3P1	MEIS3P2
MEIS3P1	PKNOX1
G6PC2	G6PC1
STRADB	AC046185.1
DLG1	MPP2
DLG1	LLGL1
MPP2	LLGL1
HNRNPLL	AC104534.3
ACTR2	AC078899.1
PKNOX2	MEIS3P2
TRPM2	TRPC3
TRPM2	TRPC6
ASB1	ASB12
LIMD1	LPP
LIMD1	TRIP6
LIMD1	ZYX
LPP	ZYX
LPP	TRIP6
ZYX	FBLIM1
RPL39L	RPL39P5
RPL39P5	RPL39
AC097637.1	TLR3
ZNF197	PRDM9
ZNF197	ZNF184
ZNF630	ZNF860
GPX1P1	GPX6
FOXP1	FOXP4
FOXP1	FOXP2
DCBLD2	DCBLD1
MST1	PLAT
MST1	PLAU
HGF	LPA
HGF	PLG
HGF	PLAT
HGF	PLAU
CADPS	CADPS2
RASAL1	POLR2J4
CPB1	CPOX
CPA5	CPOX
CPA1	CPOX
CPA2	CPOX
CPA4	CPOX
CPA6	CPOX
CPB2	CPOX
CPA3	CPOX
TRA2A	CIRBP
ARHGEF3	SLC6A5
TMPRSS7	CORIN
TMPRSS7	TMPRSS12
TMPRSS6	PRSS27
TMPRSS6	PRSS33
TMPRSS6	PRSS8
TMPRSS6	CORIN
TMPRSS6	TMPRSS12
SLCO2A1	RP11-125O5.2
SLCO2A1	RP11-545J16.1
SLCO2A1	SLCO1B7
SLC6A6	AC133561.1
LRTM1	LRTM2
PRICKLE2	PRICKLE1
PRICKLE1	PRICKLE3
ACKR4	GPR182
NEK4	NEK5
NEK4	NEK3
NEK5	NEK1
NEK3	NEK1
PPIAP72	PPIAP24
PPIAP24	PPIAP74
P2RY1	P2RY8
TRIM59	TRIM13
TRIM59	TRIM54
TRIM13	RP11-432B6.3
NFKBIZ	NFKBIA
NFKBIA	NFKBIE
NFKBIA	NFKBID
NFKBIA	BCL3
NFKBIE	NFKB1
NFKBIE	NFKBIB
PLSCR4	TMEM256-PLSCR3
PLSCR2	TMEM256-PLSCR3
PLSCR1	TMEM256-PLSCR3
PRKCSH	PLD2
ZNF860	ZNF146
ZNF860	ZNF157
ZNF146	ZNF134
ZNF157	ZNF786
ZNF3	ZNF134
ZNF250	ZNF786
ZNF250	ZNF840P
ZNF286A	ZNF134
ZNF660	ZFP30
GSK3B	AC006486.9
TMPRSS13	TPSG1
TMPRSS13	PRSS33
ZNF786	ZNF408
ZNF786	ZNF283
ZNF786	ZNF112
ZNF786	ZNF497
ZNF786	MZF1
PPP2R3A	PPP2R3C
ZBTB38	ZBTB33
SLC34A1	SLC17A5
PCDH7	RP11-310K10.1
PCDH1	RP11-310K10.1
PCDH11X	RP11-310K10.1
FLT4	RP11-231C18.3
CSF1R	RP11-231C18.3
PDGFRB	RP11-231C18.3
FLT1	RP11-231C18.3
FLT3	RP11-231C18.3
DNAJB14	DNAJC18
DNAJC18	DNAJB12
NDST4	RP11-574K11.31
NDST1	RP11-574K11.31
NDST3	RP11-574K11.31
PCDH10	PCDHB18P
PCDHB18P	PCDH18
PCDHB18P	PCDH17
PCDHB18P	PCDH19
RAPGEF2	CTC-432M15.3
ACSL1	CTB-127M13.1
ACSL5	CTB-127M13.1
HSP90AB3P	HSP90AB1
HGFAC	PLAT
HGFAC	HABP2
HGFAC	PLAU
PLAT	F12
PLAT	HABP2
PLAT	PLAU
HABP2	F12
HABP2	PLAU
PLAU	F12
ADGRA3	LGI1
ADGRA3	LGI3
ADGRA2	LGI1
ADGRA2	LGI2
ADGRA1	LGI3
ADGRA1	LGI2
DKK2	DKK4
DKK2	DKK1
DKK4	DKK1
LRIT3	LRFN4
LRFN4	LRRC4C
LRFN4	LRRC4B
SEC24D	SEC24C
FAT4	CDH23
UNC93B5	UNC93B1
PRSS27	PRSS8
PRSS22	PRSS8
LRFN2	LRRC4C
LRFN2	LRRC4B
LRFN3	LRRC4B
LRRC4B	LRFN1
GSX2	GSX1
DCLK2	DCX
DCLK1	DCX
AC093909.1	MTRF1
TMSB4XP8	TMSB15B
TMSB15B	TMSB4X
AC004057.1	RPS26P11
RPS26P11	RPS26P3
RPS26P3	RPS26P6
RPS26P3	RPS26
OTUD4	ALG13
ISCA1P1	ISCA1
NUDT12	NUDT13
KIF20A	KIF20B
N4BP3	LZTS2
N4BP3	RP5-1187M17.10
N4BP3	LZTS1
LZTS2	RP5-1187M17.10
LZTS1	RP5-1187M17.10
RBM26	RP11-449H3.3
CDH13	DSG3
CDH13	DSC1
CDH13	DSC2
CDH13	DSG2
CDH13	DSG4
CDH13	DSC3
CDH15	CDH15
CDH15	DSC2
CDH15	DSC1
CDH15	DSG2
CDH15	DSG3
CDH15	DSG4
CDH15	DSC3
CDH1	DSC2
CDH1	DSC1
CDH1	DSC3
CDH4	DSG2
CDH4	DSC2
CDH4	DSG3
CDH4	DSG1
CDH4	DSC3
CDH4	DSC1
GZMA	CTSG
GZMA	GZMB
RAI14	UACA
RAI14	ANKRD24
UACA	ANKRD35
HEXB	RP11-106M3.2
TMED3	TICAM2
RPS17P2	RPS17
RPS17	RPS17P5
LOX	SCARA5
LOXL1	MARCO
LOXL1	SCARA5
APC2	CTC-554D6.1
ZRSR2P1	ZRSR2
FTMT	FTH1P19
FTH1P19	FTL
CYP7B1	PTGIS
CYP7A1	PTGIS
CRISPLD1	PI16
GLIPR1	PI16
R3HDML	PI16
CRISPLD2	PI16
CLVS2	TTPA
TTPA	RLBP1
TTPA	TTPAL
TPD52L1	RP11-26J3.4
TPD52L2	RP11-26J3.4
TPD52L3	RP11-26J3.4
SGK3	SGK3
PPT2	EGFL7
KLC2	RP11-73M18.2
TMEM151A	RP11-444E17.6
NOX3	AC027088.1
PI16	PI15
PI16	GLIPR1L2
PI16	GLIPR1L1
CRIP3	AL928654.7
DLK2	DLK1
TJAP1	BEGAIN
TMEM30A	TMEM30CP
TMEM30B	TMEM30CP
PLEKHG1	PLEKHG3
PLEKHG3	PLEKHG2
FRMD1	FRMD6
FOXF2	FOXF1
ECI2	CDYL2
TMEM170B	RP11-77K12.1
MTCL1	RP3-403A15.5
SOGA1	RP3-403A15.5
BACH1	ZBTB44
RPS10	AP000354.1
SLC29A4	SLC29A4P1
PMS2P1	PMS2P5
PMS2P1	PMS2P6
TBXAS1	CYP3A5
TBXAS1	CYP3A4
PRSS1	KLK5
PRSS1	KLK15
PRSS1	KLK13
PRSS1	KLK11
PRSS1	CTC-518B2.8
PRSS1	KLK14
PRSS1	KLK9
KLK5	PRSS3P4
KLK5	PRSS2
TMEM106B	TMEM106C
TMEM106B	TMEM106A
TMEM106C	TMEM106A
MINDY4	AQP6
MINDY4	MIP
MINDY4	AQP2
MINDY4	AQP5
MINDY4	AQP4
MIP	RP5-877J2.1
NLRP13	RNH1
SEPTIN7	SEPTIN4
SEPTIN1	SEPTIN7P2
SEPTIN1	SEPTIN4
SEPTIN4	SEPTIN7P2
SEPTIN4	SEPTIN5
SEPTIN5	SEPTIN7P2
ZKSCAN1	ZSCAN32
ZKSCAN1	ZNF772
ZKSCAN1	ZNF792
ZKSCAN1	ZNF416
ZKSCAN1	ZIK1
ZSCAN32	ZNF416
ZSCAN32	ZNF776
CYTH3	CTC-273B12.7
CYTH1	CTC-273B12.7
CYTH4	CTC-273B12.7
LMTK2	AATK
PGAM2	AC012085.1
MOSPD3	MOSPD1
SOX17	CTD-2135J3.4
SOX18	CTD-2135J3.4
FHIP2B	FHIP2A
MMP25	MMP25
RIPK2	ANKK1
POTEA	ANKRD62
RBM12B	CPNE1
RAD21	SNPH
KCTD9	KCTD9P2
ASPN	LUM
PSIP1	RP11-382A20.3
PSIP1	CTB-50L17.10
MVB12B	MVB12A
SFTPD	MBL2
FOLH1B	NAALADL1
OVCH2	OVCH1
LDHB	UEVLD
GAS2	GAS2L3
GAS2L1	GAS2L2
CAPRIN1	CBLN4
CAPRIN2	CBLN4
RAB3IL1	AC025263.3
KDM2A	FBXL19
KDM2B	FBXL19
AC107956.1	RPS2
TBC1D10C	RP1-130H16.18
TBC1D10B	RP1-130H16.18
SMTNL1	SMTNL2
SMTNL2	SMTN
RNH1	NLRP4
RNH1	NLRP11
RNH1	NLRP2
PRRG4	PRRG2
PRRG2	PRRG1
CRYAB	CH507-152C13.3
TECTA	AC020907.1
SIK2	CH507-42P11.8
RBM11	RP11-212D19.4
APP	SPINT3
ARHGAP1	PRR5
RAB39A	RAB42P1
RAB39B	RAB42P1
A2ML1	AC024940.2
AC024940.2	A2M
AC024940.2	PZP
LRRK2	LRRK1
PLA2G10	RP11-240B13.2
TMEM255B	TMEM255A
RDH11	DHRS13
DHRS13	RDH12
ARHGAP5	ARHGAP35
KTN1	RRBP1
VSX2	VSX1
ISM2	ISM1
PAK4	BUB1B-PAK6
PAK5	BUB1B-PAK6
TSPAN6	RP5-972B16.2
SYNGR3	SYNGR2
SYNGR3	SYNGR1
TVP23A	TVP23BP2
VPS4B	RP11-343C2.11
SBK1	SBK2
USP6	USP6NL
LGALS3BP	BTBD17
ADORA2B	SPECC1L-ADORA2A
ADORA2A	TMIGD3
LRRC75A	LRRC75B
RNF43	RNF215
GALR2	GALR3
NPTX1	NPTXR
GALR1	KISS1R
ZNF547	ZNF793
GGTLC1	GGT3P
AKAP17A	AKAP17BP
CORIN	TMPRSS9
ANKRD24	ANKRD35
RP11-382A20.3	CTB-50L17.10
MIA3	RP11-407N17.3
MAP2	MAP4
MAPT	MAP4
RP11-290H9.2	ITGB4
ZBTB10	RP1-27O5.3
TRIM54	RP11-432B6.3
C6orf52	TRNAU1AP
KLK15	PRSS2
KLK13	PRSS2
KLK11	PRSS2
CTC-518B2.8	PRSS2
KLK14	PRSS2
KLK9	PRSS2
PI4K2A	RP11-717K11.2
PI4K2B	RP11-548K23.11
RP11-717K11.2	RP11-548K23.11
APLP1	SPINT3
LRRC52	LRRC38
PLEKHG6	PLEKHG5
SLC26A10	SLC26A6
MIR133A2	MIR133A1
MIR133A1	MIR133B
ABCB9	XXbac-BPG246D15.9
DYNLT5	DYNLT2B
DYNLT5	RP11-447L10.1
UBR5	HECTD3
ARHGEF28	CTD-2207O23.3
ARHGEF28	AKAP13
AKAP13	CTD-2207O23.3
HMCN1	HMCN2
ACTBL2	POTEE
ZNF513	ZNF142
TMEM256-PLSCR3	PLSCR5
ZXDC	GTF3A
GTF3A	ZXDB
GTF3A	ZXDA
MIRLET7E	MIRLET7A3
MIRLET7E	MIRLET7A2
MIRLET7A3	MIRLET7F2
MIRLET7A3	MIRLET7A2
MIRLET7A3	MIRLET7A1
MIRLET7A2	MIRLET7F2
MIRLET7A2	MIRLET7C
MIRLET7F2	MIRLET7A1
MIR124-3	MIR124-1
MIR124-1	MIR124-2
RP11-2C24.9	EP400P1
RP11-2C24.9	EP400
EP400P1	SRCAP
FOXN4	FOXN1
FMN2	FMN1
CNPY1	RP11-977G19.10
PLEKHO1	AC069368.3
MYO15B	MYO15A
ANKRD37	ANKRD10
MIR7-2	MIR7-1
MIR7-2	MIR7-3
ADORA3	SPECC1L-ADORA2A
TMIGD3	SPECC1L-ADORA2A
ADORA1	SPECC1L-ADORA2A
PRDM10	PRDM4
FAM169B	FAM169A
BIRC8	NAIP
FHIP1A	FHIP1B
ASB2	ASB14
PRDM1	ZNF683
BRMS1L	BRMS1L
ANKRD11	ANKRD12
LRRC74A	TCTE1
LRRC74A	LRRC34
MIR1-2	MIR1-1
MIR1-2	MIR206
RTN4RL1	LRRC24
SCARA3	COLEC12
CELA1	CTRC
TPBG	TPBGL
ANKRD34C	ANKRD34A
